patient_id,first_name,last_name,date_of_birth,nhs_number,gender,phone_number,email,address,postcode,emergency_contact_name,emergency_contact_phone,registration_date,gp_surgery_id
P001,John,Smith,1985-03-15,1234567890,1234567890,1234567890,1234567890,1234567890,M,07123456789,john.smith@email.com,123 Oak Street,Birmingham,B1 1AA
P002,Emma,Johnson,1990-07-22,2345678901,2345678901,2345678901,2345678901,2345678901,F,07234567890,emma.johnson@email.com,456 Pine Avenue,Birmingham,B2 2BB
P003,Robert,Williams,1975-11-08,3456789012,3456789012,3456789012,3456789012,3456789012,M,07345678901,robert.williams@email.com,789 Maple Road,Solihull,B91 3CC
P004,Sarah,Brown,1988-09-14,4567890123,4567890123,4567890123,4567890123,4567890123,F,07456789012,sarah.brown@email.com,321 Elm Close,Birmingham,B3 4DD
P006,Linda,Miller,1978-04-27,6789012345,6789012345,6789012345,6789012345,6789012345,F,07678901234,linda.miller@email.com,987 Cedar Grove,Birmingham,B4 6FF
P007,James,Wilson,1992-01-19,7890123456,7890123456,7890123456,7890123456,7890123456,M,07789012345,james.wilson@email.com,147 Willow Way,Birmingham,B5 7GG
P008,Patricia,Moore,1983-06-11,8901234567,8901234567,8901234567,8901234567,8901234567,F,07890123456,patricia.moore@email.com,258 Ash Court,Erdington,B23 8HH
P009,Christopher,Taylor,1979-10-05,9012345678,9012345678,9012345678,9012345678,9012345678,M,07901234567,christopher.taylor@email.com,369 Holly Drive,Birmingham,B6 9II
P010,Elizabeth A,Anderson A,1987-08-30,0123456789,0123456789,0123456789,0123456789,0123456789,F,07012345678,elizabeth.anderson@email.com,741 Poplar Street,Kings Heath,B14 0JJ
2,1111,1,1,1,1,1,1,1,1,1,1,1,1,1
